,fineLine,displayName,productUrl,brandName,brandLogo,forHire,unitOfMeasure,isSpecialOrder,availableForOrderOnline,availableForPickUp,availableForDelivery,isTradingRestricted,isThirdParty,isBundle,isCustomMade,hasPOADelivery,productImage,checkStoreForPrice,stockStatus,isFeatured,sellerName,isMarketplaceProduct,showStockLevel,isInStore,productRatings,totalReviewCount,Price_int
10,6290591,Ozito Power X Change Brushless Hammer Drill Kit,/ozito-power-x-change-brushless-hammer-drill-kit_p6290591,Ozito Power X Change,https,false,Each,false,false,false,false,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",1},169.0
11,6290638,Ozito Power X Change 18V / 240V Hybrid Inflator / Deflator - Skin Only,/ozito-power-x-change-18v-240v-hybrid-inflator-deflator-skin-only_p6290638,Ozito Power X Change,https,false,Each,false,true,true,true,false,false,false,false,false,https,false,null,true,,false,true,true,"{""averageOverallRating",0},89.0
12,6290640,Ozito Power X Change 18V Brushless Impact Wrench Kit,/ozito-power-x-change-18v-brushless-impact-wrench-kit_p6290640,Ozito Power X Change,https,false,Each,false,true,true,true,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",1},199.0
13,6290647,Ozito Power X Change 18V Wet And Dry Vacuum Cleaner,/ozito-power-x-change-18v-wet-and-dry-vacuum-cleaner_p6290647,Ozito Power X Change,https,false,Each,false,true,true,true,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",1},65.0
14,6290652,Ozito Power X Change 18V Buffer Polisher - Skin Only,/ozito-power-x-change-18v-buffer-polisher-skin-only_p6290652,Ozito Power X Change,https,false,Each,false,true,true,true,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",0},62.98
15,0011879,Ozito Power X Change 150mm 18 Tooth Circular Saw Blade,/ozito-power-x-change-150mm-18-tooth-circular-saw-blade_p0011879,Ozito Power X Change,https,false,Each,false,true,true,true,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",0},9.95
16,0033141,Ozito Power X Change 18V 165mm Circular Saw - Skin Only,/ozito-power-x-change-18v-165mm-circular-saw-skin-only_p0033141,Ozito Power X Change,https,false,Each,false,true,true,true,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",1},79.98
17,0035841,Ozito Power X Change 18V 210mm Compound Mitre Saw - Skin Only,/ozito-power-x-change-18v-210mm-compound-mitre-saw-skin-only_p0035841,Ozito Power X Change,https,false,Each,false,true,true,true,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",2},79.9
18,0049052,Ozito Power X Change 18V 10mm Compact Drill Driver Kit,/ozito-power-x-change-18v-10mm-compact-drill-driver-kit_p0049052,Ozito Power X Change,https,false,Each,false,false,false,false,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",0},69.0
19,0054468,Ozito Power X Change 18V Brushless Lawn Mower Kit,/ozito-power-x-change-18v-brushless-lawn-mower-kit_p0054468,Ozito Power X Change,https,false,Each,false,true,true,true,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",9},199.0
